country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Czech Republic,16700.0,17000.0,16200.0,16500.0,16800.0,16600.0,16600.0,17000.0,17800.0,18200.0,19100.0,19700.0,20200.0,developed
Germany,37800.0,38300.0,36200.0,37800.0,40000.0,40100.0,40100.0,40900.0,41100.0,41700.0,42600.0,42900.0,43300.0,developed
Dominica,7410.0,7930.0,7840.0,7900.0,7880.0,7780.0,7710.0,8010.0,7720.0,7930.0,7370.0,7590.0,7940.0,undeveloped
Denmark,53900.0,53300.0,50500.0,51200.0,51600.0,51600.0,51800.0,52400.0,53300.0,54600.0,55700.0,56600.0,57200.0,developed
Dominican Republic,5270.0,5370.0,5350.0,5720.0,5830.0,5910.0,6120.0,6470.0,6840.0,7210.0,7460.0,7890.0,8210.0,undeveloped
Algeria,4370.0,4400.0,4370.0,4500.0,4550.0,4570.0,4590.0,4690.0,4740.0,4830.0,4810.0,4780.0,4740.0,undeveloped
Ecuador,4740.0,4970.0,4940.0,5050.0,5390.0,5610.0,5920.0,6080.0,6000.0,5870.0,6130.0,6080.0,5970.0,undeveloped
Egypt,2970.0,3130.0,3210.0,3310.0,3290.0,3290.0,3280.0,3300.0,3370.0,3440.0,3520.0,3640.0,3770.0,undeveloped
Spain,27200.0,27000.0,25800.0,25700.0,25400.0,24600.0,24400.0,24800.0,25800.0,26500.0,27200.0,27700.0,28100.0,developed
Estonia,17500.0,16600.0,14200.0,14600.0,15700.0,16300.0,16600.0,17100.0,17400.0,17900.0,19000.0,19600.0,20300.0,developed
Ethiopia,357.0,385.0,407.0,445.0,481.0,508.0,547.0,587.0,630.0,671.0,716.0,744.0,785.0,undeveloped
Finland,46200.0,46400.0,42400.0,43600.0,44500.0,43600.0,43000.0,42700.0,42800.0,43900.0,45200.0,45600.0,46100.0,developed
Fiji,4260.0,4270.0,4190.0,4300.0,4400.0,4450.0,4650.0,4890.0,5110.0,5220.0,5500.0,5710.0,5680.0,undeveloped
France,36500.0,36400.0,35100.0,35600.0,36200.0,36200.0,36200.0,36400.0,36700.0,37000.0,37700.0,38300.0,38800.0,developed
"Micronesia, Fed. Sts.",2870.0,2830.0,2880.0,2950.0,3040.0,2970.0,2850.0,2770.0,2890.0,2890.0,2900.0,2890.0,3000.0,undeveloped
Gabon,6940.0,6500.0,6300.0,6510.0,6740.0,6840.0,6980.0,7040.0,7090.0,7040.0,6890.0,6790.0,6890.0,undeveloped
UK,44500.0,44100.0,41700.0,42300.0,42500.0,42800.0,43300.0,44300.0,45000.0,45500.0,46400.0,46700.0,47200.0,developed
Georgia,2890.0,2970.0,2890.0,3090.0,3360.0,3610.0,3810.0,3960.0,4090.0,4230.0,4440.0,4710.0,4980.0,developed
Ghana,1200.0,1280.0,1310.0,1370.0,1530.0,1630.0,1710.0,1720.0,1710.0,1730.0,1830.0,1900.0,1980.0,undeveloped
Guinea,682.0,693.0,669.0,684.0,705.0,728.0,739.0,747.0,756.0,817.0,878.0,911.0,938.0,undeveloped
Gambia,638.0,657.0,679.0,697.0,621.0,634.0,632.0,605.0,612.0,606.0,618.0,646.0,669.0,undeveloped
Guinea-Bissau,598.0,609.0,608.0,626.0,659.0,630.0,633.0,623.0,644.0,661.0,676.0,685.0,700.0,undeveloped
Equatorial Guinea,12700.0,14200.0,13700.0,11900.0,12200.0,12600.0,11600.0,11200.0,9790.0,8590.0,7820.0,7080.0,6470.0,undeveloped
Greece,24100.0,23900.0,22800.0,21600.0,19400.0,18100.0,17800.0,18000.0,18100.0,18100.0,18300.0,18600.0,19000.0,developed
Grenada,8170.0,8190.0,7600.0,7510.0,7510.0,7350.0,7460.0,7940.0,8380.0,8620.0,8930.0,9250.0,9250.0,undeveloped
Guatemala,3570.0,3620.0,3570.0,3610.0,3690.0,3730.0,3800.0,3900.0,3990.0,4030.0,4090.0,4160.0,4260.0,undeveloped
Guyana,4380.0,4480.0,4650.0,4870.0,5150.0,5420.0,5590.0,5660.0,5670.0,5850.0,6040.0,6130.0,6350.0,undeveloped
"Hong Kong, China",36400.0,36900.0,35900.0,38100.0,39700.0,39900.0,41000.0,41800.0,42400.0,43100.0,44400.0,45300.0,44200.0,developed
Honduras,2110.0,2150.0,2050.0,2090.0,2120.0,2170.0,2190.0,2210.0,2260.0,2300.0,2370.0,2420.0,2440.0,undeveloped
Croatia,12700.0,13000.0,12100.0,11900.0,12000.0,11700.0,11700.0,11700.0,12100.0,12700.0,13300.0,13800.0,14300.0,developed
Haiti,1340.0,1350.0,1410.0,1310.0,1360.0,1350.0,1390.0,1410.0,1410.0,1410.0,1430.0,1430.0,1390.0,undeveloped
Hungary,11800.0,11900.0,11200.0,11300.0,11600.0,11500.0,11700.0,12200.0,12700.0,13000.0,13600.0,14400.0,15100.0,developed
Indonesia,2380.0,2490.0,2570.0,2700.0,2830.0,2960.0,3090.0,3200.0,3320.0,3450.0,3590.0,3740.0,3890.0,undeveloped
India,1070.0,1090.0,1160.0,1240.0,1290.0,1340.0,1400.0,1490.0,1590.0,1700.0,1800.0,1890.0,1940.0,undeveloped
Ireland,52000.0,48700.0,45700.0,46200.0,46600.0,46400.0,46700.0,50400.0,62200.0,62600.0,67700.0,72500.0,75300.0,developed
Iran,5230.0,5170.0,5160.0,5380.0,5450.0,5180.0,5030.0,5180.0,4990.0,5330.0,5400.0,5230.0,5020.0,undeveloped
Iraq,3530.0,3750.0,3740.0,3850.0,4000.0,4360.0,4480.0,4330.0,4420.0,4900.0,4700.0,4710.0,4850.0,undeveloped
Iceland,53600.0,53800.0,49500.0,48200.0,48900.0,49200.0,50900.0,51200.0,53000.0,55500.0,56500.0,57700.0,57500.0,developed
Israel,31900.0,32299.999999999996,31900.0,33000.0,34200.0,34500.0,35300.0,36000.0,36200.0,37100.0,38000.0,38700.0,39600.0,developed
Italy,34100.0,33500.0,31600.0,32100.0,32200.000000000004,31200.0,30300.0,30000.0,30200.0,30700.0,31200.0,31600.0,32100.0,developed
Jamaica,5440.0,5380.0,5120.0,5030.0,5090.0,5030.0,5040.0,5050.0,5080.0,5130.0,5170.0,5260.0,5310.0,undeveloped
Jordan,4520.0,4730.0,4860.0,4870.0,4870.0,4920.0,4730.0,4350.0,4060.0,3950.0,3950.0,3930.0,3910.0,undeveloped
Japan,34000.0,33600.0,31700.0,32900.0,33000.0,33500.0,34200.0,34400.0,35000.0,35200.0,35900.0,36100.0,36000.0,developed
Kazakhstan,8440.0,8550.0,8490.0,8980.0,9510.0,9820.0,10300.0,10500.0,10500.0,10500.0,10800.0,11100.0,11400.0,developed
Kenya,1310.0,1270.0,1280.0,1340.0,1370.0,1400.0,1420.0,1460.0,1500.0,1530.0,1550.0,1600.0,1650.0,undeveloped
Kyrgyz Republic,900.0,966.0,982.0,966.0,1010.0,994.0,1080.0,1100.0,1120.0,1150.0,1180.0,1200.0,1230.0,undeveloped
Cambodia,823.0,863.0,851.0,889.0,938.0,992.0,1050.0,1110.0,1170.0,1240.0,1300.0,1380.0,1470.0,undeveloped
Kiribati,1440.0,1370.0,1350.0,1340.0,1360.0,1420.0,1500.0,1500.0,1640.0,1730.0,1770.0,1800.0,1830.0,undeveloped
