,Year,GDP per Capita,GDP per Employee,Gini Coefficient
0,2007,4740.0,9850.0,0.534
1,2008,4970.0,10300.0,0.498
2,2009,4940.0,10500.0,0.485
3,2010,5050.0,10800.0,0.488
4,2011,5390.0,11400.0,0.45899999999999996
5,2012,5610.0,11700.0,0.461
6,2013,5920.0,12100.0,0.469
7,2014,6080.0,12400.0,0.45
8,2015,6000.0,11700.0,0.46
9,2016,5870.0,11100.0,0.45
10,2017,6130.0,10900.0,0.447
11,2018,6080.0,11000.0,0.45399999999999996
12,2019,5970.0,10800.0,0.457
