,Year,GDP per Capita,GDP per Employee,Gini Coefficient
0,2007,76100.0,175000.0,0.271
1,2008,75500.0,171000.0,0.27
2,2009,73100.0,169000.0,0.262
3,2010,72800.0,171000.0,0.257
4,2011,72700.0,170000.0,0.253
5,2012,73700.0,172000.0,0.257
6,2013,73500.0,172000.0,0.264
7,2014,74200.0,174000.0,0.268
8,2015,74800.0,176000.0,0.275
9,2016,75000.0,178000.0,0.285
10,2017,76200.0,182000.0,0.27
11,2018,76400.0,181000.0,0.276
12,2019,76700.0,181000.0,0.276
