,X-axis,Y-axis
0,2100.0,0.436
1,2210.0,0.439
2,2300.0,0.442
3,2340.0,0.431
4,2470.0,0.42
5,2470.0,0.41
6,2430.0,0.414
7,2460.0,0.419
8,2490.0,0.423
9,2510.0,0.428
10,2500.0,0.43
11,2540.0,0.43
12,2600.0,0.43
