,Year,GDP per Capita,GDP per Employee,Gini Coefficient
0,2007,54200.0,102000.0,0.408
1,2008,53700.0,102000.0,0.408
2,2009,51900.0,103000.0,0.406
3,2010,52800.0,106000.0,0.4
4,2011,53300.0,107000.0,0.409
5,2012,54100.0,107000.0,0.409
6,2013,54800.0,108000.0,0.406
7,2014,55800.0,108000.0,0.415
8,2015,57000.0,110000.0,0.41200000000000003
9,2016,57700.0,110000.0,0.41100000000000003
10,2017,58700.0,110000.0,0.41200000000000003
11,2018,60100.0,112000.0,0.414
12,2019,61300.0,113000.0,0.414
