,X-axis,Y-axis
0,76100.0,0.271
1,75500.0,0.27
2,73100.0,0.262
3,72800.0,0.257
4,72700.0,0.253
5,73700.0,0.257
6,73500.0,0.264
7,74200.0,0.268
8,74800.0,0.275
9,75000.0,0.285
10,76200.0,0.27
11,76400.0,0.276
12,76700.0,0.276
