country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Germany,90600.0,90400.0,85300.0,87900.0,89300.0,89100.0,88600.0,90000.0,91000.0,91900.0,93100.0,93300.0,92700.0,developed
Djibouti,3620.0,3710.0,3660.0,3700.0,3880.0,3980.0,4090.0,4290.0,4520.0,4730.0,4880.0,5180.0,5450.0,undeveloped
Denmark,118000.0,118000.0,116000.0,121000.0,122000.0,123000.0,125000.0,125000.0,127000.0,129000.0,130000.0,132000.0,133000.0,developed
Dominican Republic,13600.0,13600.0,14100.0,14500.0,14500.0,14500.0,15000.0,15600.0,15900.0,16500.0,16800.0,17300.0,17700.0,undeveloped
Algeria,16700.0,16300.0,16000.0,16200.0,16300.0,16700.0,16300.0,17600.0,18000.0,17900.0,18100.0,18100.0,18100.0,undeveloped
Ecuador,9850.0,10300.0,10500.0,10800.0,11400.0,11700.0,12100.0,12400.0,11700.0,11100.0,10900.0,11000.0,10800.0,undeveloped
Egypt,8070.0,8460.0,8610.0,8750.0,9080.0,9110.0,9110.0,9190.0,9730.0,9960.0,10400.0,10800.0,11200.0,undeveloped
Eritrea,1270.0,1120.0,1140.0,1150.0,1230.0,1250.0,1110.0,1450.0,1150.0,1210.0,1080.0,1200.0,1230.0,undeveloped
Spain,70600.0,71800.0,73700.0,74800.0,75500.0,76600.0,77500.0,77500.0,78400.0,78500.0,78800.0,78900.0,79400.0,developed
Estonia,35700.0,33900.0,32100.0,34600.0,35100.0,35400.0,35500.0,36300.0,36000.0,36700.0,37900.0,39500.0,41000.0,developed
Ethiopia,634.0,681.0,718.0,782.0,839.0,879.0,937.0,998.0,1070.0,1130.0,1200.0,1240.0,1300.0,undeveloped
Finland,104000.0,103000.0,97800.0,101000.0,103000.0,101000.0,101000.0,101000.0,102000.0,105000.0,107000.0,106000.0,106000.0,developed
Fiji,9260.0,9080.0,8720.0,8750.0,8820.0,9090.0,9710.0,10500.0,11100.0,11400.0,12000.0,12300.0,12300.0,undeveloped
France,99500.0,98400.0,96500.0,98100.0,100000.0,100000.0,101000.0,103000.0,103000.0,104000.0,105000.0,106000.0,107000.0,developed
Gabon,38700.0,35900.0,34800.0,35900.0,36800.0,36900.0,37100.0,36800.0,36500.0,35900.0,34800.0,34000.0,34200.0,undeveloped
UK,85700.0,84400.0,81700.0,82900.0,83800.0,83900.0,84500.0,84700.0,85300.0,85800.0,86400.0,86500.0,86700.0,developed
Georgia,6130.0,6630.0,6620.0,6880.0,7270.0,7680.0,8040.0,8150.0,8270.0,8670.0,9080.0,9780.0,10300.0,developed
Ghana,2800.0,2980.0,3060.0,3220.0,3610.0,3870.0,4080.0,4130.0,4150.0,4130.0,4300.0,4450.0,4630.0,undeveloped
Guinea,2060.0,2100.0,2030.0,2080.0,2140.0,2210.0,2250.0,2270.0,2290.0,2470.0,2640.0,2710.0,2770.0,undeveloped
Gambia,2730.0,2800.0,2890.0,2950.0,2620.0,2660.0,2650.0,2520.0,2540.0,2500.0,2540.0,2620.0,2680.0,undeveloped
Guinea-Bissau,1370.0,1380.0,1390.0,1410.0,1480.0,1420.0,1420.0,1390.0,1430.0,1480.0,1530.0,1540.0,1570.0,undeveloped
Equatorial Guinea,53900.0,60100.0,57700.0,49700.0,50600.0,52300.0,47800.0,45600.0,39400.0,34700.0,31500.0,28400.0,25700.0,undeveloped
Greece,71600.0,71800.0,70400.0,69400.0,68100.0,69100.0,70200.0,70300.0,68500.0,67300.0,66800.0,66500.0,66100.0,developed
Guatemala,7990.0,8010.0,7850.0,7860.0,7910.0,7300.0,7940.0,7950.0,8050.0,7970.0,7930.0,7920.0,7970.0,undeveloped
Guyana,8510.0,8600.0,8870.0,9160.0,9570.0,10000.0,10400.0,10700.0,11000.0,11300.0,11400.0,11800.0,12200.0,undeveloped
"Hong Kong, China",62000.0,62800.0,61800.0,65800.0,67200.0,67100.0,67900.0,69300.0,70500.0,71700.0,73900.0,75900.0,75200.0,developed
Honduras,5350.0,5340.0,4970.0,4950.0,5170.0,5260.0,5030.0,5000.0,4990.0,5110.0,5080.0,5010.0,5000.0,undeveloped
Croatia,36500.0,36600.0,34200.0,35100.0,36500.0,37100.0,38000.0,37000.0,37200.0,38300.0,38600.0,38900.0,39500.0,developed
Haiti,2050.0,1990.0,2000.0,1880.0,1910.0,1910.0,1940.0,1940.0,1920.0,1900.0,1880.0,1860.0,1810.0,undeveloped
Hungary,34900.0,35700.0,34200.0,34600.0,35000.0,34000.0,34100.0,33700.0,34000.0,33600.0,34500.0,35900.0,37500.0,developed
Indonesia,6400.0,6580.0,6700.0,6920.0,7170.0,7370.0,7720.0,7980.0,8300.0,8610.0,8780.0,9050.0,9200.0,undeveloped
India,3230.0,3310.0,3560.0,3840.0,4030.0,4240.0,4470.0,4760.0,5090.0,5460.0,5800.0,6110.0,6320.0,undeveloped
Ireland,111000.0,107000.0,109000.0,114000.0,117000.0,117000.0,116000.0,124000.0,151000.0,152000.0,160000.0,168000.0,172000.0,developed
Iran,21000.0,21700.0,21700.0,23400.0,23600.0,21800.0,21200.0,22100.0,21100.0,23200.0,23300.0,21700.0,19800.0,undeveloped
Iraq,18600.0,19800.0,20000.0,20700.0,21300.0,23200.0,23700.0,22600.0,22200.0,24800.0,24800.0,23800.0,24100.0,undeveloped
Iceland,83100.0,84200.0,82000.0,77900.0,78700.0,78200.0,79600.0,79100.0,80800.0,83800.0,87900.0,92000.0,94900.0,developed
Israel,75600.0,74400.0,74800.0,75900.0,77300.0,76800.0,78100.0,79100.0,79200.0,80600.0,81800.0,83100.0,84900.0,developed
Italy,97200.0,96000.0,92800.0,95100.0,95500.0,92700.0,92700.0,92200.0,91900.0,91600.0,91800.0,91700.0,91200.0,developed
Jamaica,12400.0,12300.0,11800.0,11600.0,11800.0,11700.0,11600.0,11400.0,11300.0,11000.0,10700.0,10600.0,10300.0,undeveloped
Jordan,16300.0,16700.0,16400.0,16100.000000000002,16000.0,15700.0,15700.0,15300.0,15100.0,15200.0,15100.0,15000.0,15100.0,undeveloped
Japan,90300.0,89500.0,85800.0,89800.0,89800.0,91400.0,92400.0,92100.0,92800.0,92400.0,93500.0,92000.0,92000.0,developed
Kazakhstan,17100.0,17200.0,17300.0,18100.0,19200.0,19800.0,20800.0,21400.0,21500.0,21800.0,22800.0,23700.0,24700.0,developed
Kenya,2490.0,2390.0,2360.0,2450.0,2490.0,2490.0,2530.0,2550.0,2580.0,2620.0,2660.0,2750.0,2810.0,undeveloped
Kyrgyz Republic,1990.0,2150.0,2200.0,2150.0,2230.0,2210.0,2470.0,2540.0,2580.0,2690.0,2820.0,2940.0,3030.0,undeveloped
Cambodia,1390.0,1430.0,1390.0,1390.0,1450.0,1560.0,1690.0,1780.0,1870.0,1920.0,2010.0,2130.0,2250.0,undeveloped
South Korea,42700.0,43900.0,44500.0,47000.0,47900.0,48200.0,49000.0,49500.0,50200.0,51300.0,52400.0,53700.0,54400.0,developed
Kuwait,100000.0,95800.0,81800.0,73800.0,75800.0,75600.0,71600.0,67900.0,64300.0,64099.99999999999,59200.0,58800.0,58000.0,developed
Lao,2000.0,2100.0,2190.0,2310.0,2440.0,2570.0,2700.0,2840.0,2980.0,3120.0,3270.0,3410.0,3500.0,undeveloped
Lebanon,20000.0,21400.0,22900.0,24000.0,23000.0,22200.0,21700.0,21200.0,20400.0,20000.0,19700.0,19000.0,17600.0,undeveloped
Liberia,1150.0,1180.0,1190.0,1220.0,1280.0,1340.0,1410.0,1380.0,1340.0,1270.0,1260.0,1240.0,1180.0,undeveloped
Libya,42900.0,42900.0,41800.0,43100.0,16100.000000000002,35500.0,30400.0,22900.0,20600.0,19700.0,24500.0,27700.0,27800.0,undeveloped
St. Lucia,19700.0,19800.0,19300.0,19500.0,20500.0,20100.0,19800.0,19500.0,18700.0,19000.0,19100.0,19200.0,18700.0,undeveloped
Sri Lanka,6140.0,6420.0,6660.0,7210.0,7750.0,8500.0,8530.0,9030.0,9300.0,9570.0,9810.0,10500.0,10700.0,undeveloped
Lesotho,3290.0,3460.0,3510.0,3500.0,3630.0,3810.0,3910.0,3960.0,4000.0,4150.0,4040.0,3960.0,3960.0,undeveloped
Lithuania,28600.0,29900.0,27800.0,29700.0,30500.0,31100.0,31900.0,32600.0,33100.0,33200.0,34700.0,35800.0,37700.0,developed
Luxembourg,262000.0,255000.0,229000.0,233000.0,235000.0,225000.0,228000.0,229000.0,234000.0,242000.0,237000.0,237000.0,235000.0,developed
Latvia,28200.0,27400.0,27300.0,27500.0,28700.0,29300.0,29500.0,30200.0,30900.0,31500.0,32600.0,33700.0,34800.0,developed
Morocco,8210.0,8580.0,8720.0,8900.0,9190.0,9440.0,9820.0,10100.0,10600.0,10700.0,11200.0,11400.0,11400.0,undeveloped
Moldova,4360.0,4800.0,4780.0,5290.0,5470.0,5570.0,5940.0,6170.0,5750.0,6230.0,6590.0,7560.0,7370.0,undeveloped
Madagascar,1050.0,1080.0,1010.0,980.0,944.0,931.0,929.0,938.0,948.0,955.0,963.0,976.0,993.0,undeveloped
Maldives,19600.0,20700.0,18600.0,18100.0,17600.0,16200.0,15600.0,15100.0,14800.0,15200.0,15200.0,15400.0,15500.0,undeveloped
Mexico,23600.0,23500.0,22100.0,22900.0,23200.0,23300.0,23200.0,23700.0,23900.0,24100.0,24100.0,24100.0,23500.0,undeveloped
North Macedonia,14700.0,14900.0,14300.0,14600.0,14800.0,14700.0,14500.0,14700.0,15000.0,15000.0,14900.0,14900.0,14700.0,undeveloped
Mali,2060.0,2050.0,2060.0,2070.0,2060.0,1970.0,1960.0,2040.0,2140.0,2210.0,2280.0,2310.0,2340.0,undeveloped
Malta,53400.0,54300.0,52800.0,53400.0,52300.0,51800.0,52200.0,55000.0,60000.0,62000.0,64700.0,67400.0,69000.0,developed
Myanmar,1580.0,1740.0,1920.0,2090.0,2190.0,2330.0,2500.0,2680.0,2840.0,3060.0,3310.0,3450.0,3610.0,undeveloped
Montenegro,20500.0,21300.0,20500.0,21100.0,21700.0,20600.0,21100.0,20200.0,20300.0,20700.0,21300.0,21600.0,21900.0,developed
Mongolia,6110.0,6410.0,6230.0,6570.0,7320.0,8110.0,8880.0,9440.0,9540.0,9960.0,10200.0,10600.0,10500.0,undeveloped
Mozambique,949.0,998.0,1040.0,1090.0,1150.0,1210.0,1270.0,1330.0,1390.0,1400.0,1410.0,1410.0,1400.0,undeveloped
Mauritania,6920.0,6730.0,6590.0,6600.0,6710.0,6840.0,6920.0,7000.0,7160.0,7040.0,7080.0,6980.0,7160.0,undeveloped
Mauritius,17700.0,18200.0,18600.0,19100.0,19900.0,20300.0,20500.0,21000.0,21500.0,22200.0,22700.0,23600.0,24300.0,developed
Malawi,1070.0,1120.0,1180.0,1220.0,1240.0,1230.0,1250.0,1280.0,1270.0,1260.0,1270.0,1270.0,1280.0,undeveloped
Malaysia,20800.0,21400.0,20600.0,21500.0,21600.0,21900.0,21900.0,22700.0,23300.0,24000.0,24900.0,25500.0,26100.0,developed
Namibia,18800.0,18700.0,18400.0,19000.0,18800.0,18600.0,18900.0,19500.0,20700.0,21100.0,20400.0,19900.0,19200.0,undeveloped
Niger,1130.0,1170.0,1150.0,1200.0,1180.0,1310.0,1360.0,1440.0,1440.0,1470.0,1480.0,1520.0,1550.0,undeveloped
Nigeria,6150.0,6400.0,6750.0,7110.0,7290.0,7720.0,8370.0,8830.0,8890.0,8890.0,8690.0,8470.0,8290.0,undeveloped
Nicaragua,3840.0,3910.0,3750.0,3800.0,3870.0,3960.0,4060.0,4110.0,4230.0,4290.0,4380.0,4210.0,3980.0,undeveloped
Netherlands,102000.0,102000.0,98100.0,100000.0,102000.0,101000.0,102000.0,104000.0,104000.0,106000.0,107000.0,108000.0,108000.0,developed
Norway,175000.0,171000.0,169000.0,171000.0,170000.0,172000.0,172000.0,174000.0,176000.0,178000.0,182000.0,181000.0,181000.0,developed
Nepal,1020.0,1060.0,1100.0,1140.0,1170.0,1230.0,1280.0,1350.0,1380.0,1350.0,1420.0,1470.0,1520.0,undeveloped
New Zealand,66800.0,65700.0,66500.0,67200.0,67700.0,68800.0,68600.0,69100.0,70800.0,71300.0,71700.0,73500.0,74600.0,developed
Oman,45800.0,45900.0,44500.0,42300.0,37500.0,36500.0,34100.0,31700.0,30500.0,30200.0,29100.0,29200.0,28300.0,developed
Pakistan,3220.0,3180.0,3150.0,3090.0,3100.0,3130.0,3200.0,3230.0,3300.0,3420.0,3540.0,3680.0,3620.0,undeveloped
Panama,16700.0,17500.0,17700.0,18600.0,20400.0,21300.0,22000.0,22900.0,23700.0,24300.0,25400.0,25200.0,25400.0,developed
Peru,8460.0,9090.0,9010.0,9510.0,10000.0,10500.0,11000.0,11200.0,11600.0,11800.0,11500.0,11600.0,11500.0,undeveloped
