,Year,GDP per Capita,GDP per Employee,Gini Coefficient
0,2007,848.0,1880.0,0.32799999999999996
1,2008,891.0,1970.0,0.325
2,2009,927.0,2050.0,0.32299999999999995
3,2010,968.0,2090.0,0.321
4,2011,1020.0,2190.0,0.322
5,2012,1070.0,2300.0,0.322
6,2013,1120.0,2400.0,0.32299999999999995
7,2014,1170.0,2500.0,0.32299999999999995
8,2015,1240.0,2620.0,0.324
9,2016,1310.0,2750.0,0.324
10,2017,1380.0,2790.0,0.324
11,2018,1460.0,2950.0,0.324
12,2019,1560.0,3120.0,0.324
